Time (hr),Loss AC (kW),Load AC (kW),Net Meter AC (kW),Solar AC (kW),Battery AC (kW),Battery SOC AC,Loss DC (kW),Load DC (kW),Net Meter DC (kW),Solar DC (kW),Battery DC (kW),Battery SOC DC
0.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.5,4.68598486328125,33.5753515625,-36.82805859375,0.0,0.0,0.5
1.0,4.72203125,33.85444921875,-38.5386171875,0.0,-0.0,0.4994586408138275,4.69920751953125,33.85444921875,-37.1203671875,0.0,-0.0,0.4994586408138275
2.0,5.43177197265625,38.3499140625,-43.739296875,0.0,-0.0,0.49895942211151123,4.91506005859375,38.3499140625,-41.82864453125,0.0,-0.0,0.49895942211151123
3.0,5.73528125,40.3088984375,-45.996859375,0.0,-0.0,0.49846071004867554,4.983001953125,40.3088984375,-43.8522578125,0.0,-0.0,0.49846071004867554
4.0,5.75578173828125,40.37928125,-46.08701171875,0.0,-0.0,0.49796250462532043,4.9856494140625,40.37928125,-43.92480078125,0.0,-0.0,0.49796250462532043
5.0,6.10803955078125,42.6299609375,-48.68181640625,0.0,-0.0,0.49746477603912354,5.05820263671875,42.6299609375,-46.2425703125,0.0,-0.0,0.49746477603912354
6.0,5.88895654296875,40.7578671875,-45.81757421875,0.7798921508789063,-0.0,0.4969675540924072,4.964900390625,40.7578671875,-43.5298046875,0.7798921508789063,-0.0,0.4969675540924072
7.0,6.3565947265625,30.424375,-18.926423828125,17.823771484375,-0.0,0.4964708387851715,2.638802978515625,30.424375,-15.0585458984375,17.823771484375,-0.0,0.4964708387851715
8.0,9.0941591796875,21.053208984375,87.822453125,117.687625,0.0,0.4959746301174164,5.65925634765625,21.053208984375,91.1060234375,117.687625,0.0,0.4959746301174164
9.0,11.53503125,18.7713515625,166.865421875,196.407875,0.0,0.49547889828681946,7.96902587890625,18.7713515625,169.93996875,196.407875,0.0,0.49547889828681946
10.0,13.5515234375,18.7713515625,214.31603125,245.45196875,0.0,0.4949836730957031,9.7181318359375,18.7713515625,217.359625,245.45196875,0.0,0.4949836730957031
11.0,13.3519599609375,18.7713515625,210.39253125,241.367703125,0.0,0.494488924741745,9.55119921875,18.7713515625,213.430859375,241.367703125,0.0,0.494488924741745
12.0,13.1931943359375,18.7802890625,207.217171875,238.073359375,0.0,0.49399468302726746,9.4166689453125,18.7802890625,210.253015625,238.073359375,0.0,0.49399468302726746
13.0,12.6155927734375,19.43125,190.9849375,222.05821875,0.0,0.4935009479522705,8.80019140625,19.43125,194.161078125,222.05821875,0.0,0.4935009479522705
14.0,12.064990234375,19.67883984375,175.74471875,206.643890625,0.0,0.49300768971443176,8.2885048828125,19.67883984375,178.972890625,206.643890625,0.0,0.49300768971443176
15.0,9.0657177734375,18.79372265625,102.376296875,129.89546875,0.0,0.4925149381160736,5.9811005859375,18.79372265625,105.26828125,129.89546875,0.0,0.4925149381160736
16.0,3.7031806640625,21.76937109375,-25.460546875,0.0,0.0,0.49202266335487366,2.345102294921875,21.76937109375,-24.007201171875,0.0,0.0,0.49202266335487366
17.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.4915308654308319,4.68598486328125,33.5753515625,-36.82805859375,0.0,-0.0,0.4915308654308319
18.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.49103960394859314,4.68598486328125,33.5753515625,-36.82805859375,0.0,-0.0,0.49103960394859314
19.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.4905487895011902,4.68598486328125,33.5753515625,-36.82805859375,0.0,-0.0,0.4905487895011902
20.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.4900585114955902,4.68598486328125,33.5753515625,-36.82805859375,0.0,-0.0,0.4900585114955902
21.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.48956868052482605,4.68598486328125,33.5753515625,-36.82805859375,0.0,-0.0,0.48956868052482605
22.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.4890793561935425,4.68598486328125,33.5753515625,-36.82805859375,0.0,-0.0,0.4890793561935425
23.0,4.67583642578125,33.68083203125,-38.31870703125,0.0,-0.0,0.4885905385017395,4.69299560546875,33.68083203125,-36.93990234375,0.0,-0.0,0.4885905385017395
24.0,4.95988671875,38.93618359375,-43.8508984375,0.0,-0.0,0.48810216784477234,5.02548681640625,38.93618359375,-42.4901953125,0.0,-0.0,0.48810216784477234
