Time (hr),Loss AC (kW),Load AC (kW),Net Meter AC (kW),Solar AC (kW),Battery AC (kW),Battery SOC AC,Loss DC (kW),Load DC (kW),Net Meter DC (kW),Solar DC (kW),Battery DC (kW),Battery SOC DC
0.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,0.0,0.5,4.4797509765625,33.5753515625,-36.62182421875,0.0,0.0,0.5
1.0,4.72203125,33.85444921875,-38.5386171875,0.0,-0.0,0.4994586408138275,4.4854375,33.85444921875,-36.90659765625,0.0,-0.0,0.4994586408138275
2.0,5.43177197265625,38.3499140625,-43.739296875,0.0,-0.0,0.49895942211151123,4.5673935546875,38.3499140625,-41.48098046875,0.0,-0.0,0.49895942211151123
3.0,5.73528125,40.3088984375,-45.996859375,0.0,-0.0,0.49846071004867554,4.59775439453125,40.3088984375,-43.46701171875,0.0,-0.0,0.49846071004867554
4.0,5.75578173828125,40.37928125,-46.08701171875,0.0,-0.0,0.49796250462532043,4.59913134765625,40.37928125,-43.53828125,0.0,-0.0,0.49796250462532043
5.0,6.10803955078125,42.6299609375,-48.68181640625,0.0,-0.0,0.49746477603912354,4.6300166015625,42.6299609375,-45.8143828125,0.0,-0.0,0.49746477603912354
6.0,5.82811279296875,40.7578671875,-46.53663671875,0.0,-0.0,0.4969675540924072,4.56995556640625,40.7578671875,-43.9147578125,0.0,-0.0,0.4969675540924072
7.0,4.96013916015625,30.424375,-35.35994140625,0.0,-0.0,0.4964708387851715,2.767667236328125,30.424375,-33.01301171875,0.0,-0.0,0.4964708387851715
8.0,3.81991748046875,21.053208984375,-24.861298828125,0.0,-0.0,0.4959746301174164,2.103900634765625,21.053208984375,-23.105921875,0.0,-0.0,0.4959746301174164
9.0,3.461031982421875,18.7713515625,-22.221484375,0.0,-0.0,0.49547889828681946,1.9952576904296875,18.7713515625,-20.716044921875,0.0,-0.0,0.49547889828681946
10.0,3.461031982421875,18.7713515625,-22.221484375,0.0,-0.0,0.4949836730957031,1.9952576904296875,18.7713515625,-20.716044921875,0.0,-0.0,0.4949836730957031
11.0,3.461031982421875,18.7713515625,-22.221484375,0.0,-0.0,0.494488924741745,1.9952576904296875,18.7713515625,-20.716044921875,0.0,-0.0,0.494488924741745
12.0,3.46243408203125,18.7802890625,-22.23182421875,0.0,-0.0,0.49399468302726746,1.9956807861328125,18.7802890625,-20.72540625,0.0,-0.0,0.49399468302726746
13.0,3.56461865234375,19.43125,-22.984849609375,0.0,-0.0,0.4935009479522705,2.0265767822265626,19.43125,-21.407181640625,0.0,-0.0,0.4935009479522705
14.0,3.5982568359375,19.67883984375,-23.26598046875,0.0,-0.0,0.49300768971443176,2.038363037109375,19.67883984375,-21.6664921875,0.0,-0.0,0.49300768971443176
15.0,3.46283056640625,18.79372265625,-22.24565234375,0.0,-0.0,0.4925149381160736,1.99755517578125,18.79372265625,-20.740708984375,0.0,-0.0,0.4925149381160736
16.0,3.7031806640625,21.76937109375,-25.460546875,0.0,-0.0,0.49202266335487366,2.345102294921875,21.76937109375,-24.007201171875,0.0,-0.0,0.49202266335487366
17.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.4915308654308319,4.4797509765625,33.5753515625,-36.62182421875,0.0,-0.0,0.4915308654308319
18.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.49103960394859314,4.4797509765625,33.5753515625,-36.62182421875,0.0,-0.0,0.49103960394859314
19.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.4905487895011902,4.4797509765625,33.5753515625,-36.62182421875,0.0,-0.0,0.4905487895011902
20.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.4900585114955902,4.4797509765625,33.5753515625,-36.62182421875,0.0,-0.0,0.4900585114955902
21.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.48956868052482605,4.4797509765625,33.5753515625,-36.62182421875,0.0,-0.0,0.48956868052482605
22.0,4.67823291015625,33.5753515625,-38.21573828125,0.0,-0.0,0.4890793561935425,4.4797509765625,33.5753515625,-36.62182421875,0.0,-0.0,0.4890793561935425
23.0,4.67583642578125,33.68083203125,-38.31870703125,0.0,-0.0,0.4885905385017395,4.483888671875,33.68083203125,-36.730796875,0.0,-0.0,0.4885905385017395
24.0,4.95988671875,38.93618359375,-43.8508984375,0.0,-0.0,0.48810216784477234,4.6637001953125,38.93618359375,-42.12840625,0.0,-0.0,0.48810216784477234
25.0,4.96686376953125,38.98065625,-43.9023515625,0.0,-0.0,0.48761433362960815,4.6643310546875,38.98065625,-42.17351171875,0.0,-0.0,0.48761433362960815
26.0,5.53519921875,42.5866953125,-48.07407421875,0.0,-0.0,0.4871269464492798,4.7096240234375,42.5866953125,-45.8230625,0.0,-0.0,0.4871269464492798
27.0,6.06391650390625,45.97124609375,-51.979578125,0.0,-0.0,0.486640065908432,4.7420634765625,45.97124609375,-49.2348359375,0.0,-0.0,0.486640065908432
