"PVWatts: Hourly PV Performance Data"
"Requested Location:","san francisco"
"Location:","SAN FRANCISCO INTL AP, CA"
"Lat (deg N):","37.62"
"Long (deg W):","122.4"
"Elev (m):","2"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","37.8"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","17.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","2","5","0","0","7.2","3.1","0","7.2","0","0"
"1","2","6","0","0","7.8","4.1","0","7.8","0","0"
"1","2","7","72","1","7.2","5.7","28.299","6.387","23.42","17.424"
"1","2","8","402","45","10.6","6.2","287.847","14.4","250.873","239.723"
"1","2","9","590","85","11.7","5.2","544.91","21.251","472.199","454.341"
"1","2","10","490","144","13.9","3.6","608.146","27.337","516.07","496.684"
"1","2","11","667","133","13.9","4.1","804.136","31.025","671.429","646.105"
"1","2","12","708","119","13.9","0","836.408","47.093","644.217","619.993"
"1","2","13","395","191","13.9","2.1","586.398","30.241","491.324","472.808"
"1","2","14","508","127","12.2","2.1","567.631","27.331","480.473","462.332"
"1","2","15","410","103","12.8","3.1","394.526","22.015","338.308","324.707"
"1","2","16","0","0","11.1","4.1","0","11.1","0","0"
"1","2","17","0","0","10.6","0","0","10.6","0","0"
"1","2","18","0","0","11.7","0","0","11.7","0","0"
"1","2","19","0","0","11.7","1.5","0","11.7","0","0"
"1","2","20","0","0","10","1.5","0","10","0","0"
"1","2","21","0","0","8.9","0","0","8.9","0","0"
"1","2","22","0","0","9.4","0","0","9.4","0","0"
"1","2","23","0","0","8.9","0","0","8.9","0","0"
"1","3","0","0","0","9.4","2.6","0","9.4","0","0"
"1","3","1","0","0","10","5.2","0","10","0","0"
"1","3","2","0","0","12.2","1.5","0","12.2","0","0"
"1","3","3","0","0","13.9","8.2","0","13.9","0","0"
"1","3","4","0","0","12.8","11.3","0","12.8","0","0"
"1","3","5","0","0","12.2","10.3","0","12.2","0","0"
"1","3","6","0","0","11.1","10.3","0","11.1","0","0"
"1","3","7","68","1","11.1","8.2","26.755","10.473","21.744","15.779"
"1","3","8","328","51","11.7","4.1","251.914","15.718","218.75","208.435"
"1","3","9","438","109","13.3","2.6","460.896","23.859","395.046","379.716"
"1","3","10","508","136","12.2","4.1","613.318","24.988","526.233","506.484"
"1","3","11","369","200","15","2.6","586.931","29.617","493.506","474.914"
"1","3","12","520","160","15.6","2.1","702.851","34.075","578.36","556.692"
"1","3","13","500","162","16.1","0","660.971","43.218","519.113","499.619"
"1","3","14","353","151","16.1","1.5","463.069","30.059","387.185","372.101"
"1","3","15","226","114","13.9","2.1","288.523","21.31","249.289","238.181"
"1","3","16","0","0","13.9","0","0","13.9","0","0"
"1","3","17","0","0","12.8","2.1","0","12.8","0","0"
"1","3","18","0","0","12.2","1.5","0","12.2","0","0"
"1","3","19","0","0","10.6","0","0","10.6","0","0"
"1","3","20","0","0","10","2.1","0","10","0","0"
"1","3","21","0","0","8.9","0","0","8.9","0","0"
"1","3","22","0","0","8.9","2.6","0","8.9","0","0"
"1","3","23","0","0","8.9","4.6","0","8.9","0","0"
"1","4","0","0","0","8.3","0","0","8.3","0","0"
"1","4","1","0","0","7.8","0","0","7.8","0","0"
"1","4","2","0","0","8.3","2.6","0","8.3","0","0"
"1","4","3","0","0","6.1","0","0","6.1","0","0"
"1","4","4","0","0","4.4","1.5","0","4.4","0","0"
"1","4","5","0","0","6.1","0","0","6.1","0","0"
"1","4","6","0","0","5","0","0","5","0","0"
"1","4","7","51","1","6.7","1.5","20.54","4.932","17.142","11.263"
"1","4","8","189","61","8.3","4.1","181.552","10.726","162.258","153.326"
"1","4","9","73","134","8.9","4.1","197.099","12.016","179.239","169.902"
"1","4","10","105","198","8.9","3.1","305.686","15.065","274.895","263.097"
"1","4","11","411","203","10","2.1","629.105","25.89","538.427","518.237"
"1","4","12","272","226","10.6","1.5","535.252","26.613","456.662","439.329"
"1","4","13","494","184","10.6","0","681.752","37.754","550.513","529.882"
"1","4","14","122","183","10","2.1","312.935","18.822","276.37","264.532"
"1","4","15","102","132","10.6","2.6","220.471","15.314","196.793","187.028"
"1","4","16","0","0","10","0","0","10","0","0"
"1","4","17","0","0","10","0","0","10","0","0"
"1","4","18","0","0","9.4","0","0","9.4","0","0"
"1","4","19","0","0","9.4","0","0","9.4","0","0"
"1","4","20","0","0","8.9","1.5","0","8.9","0","0"
"1","4","21","0","0","8.9","1.5","0","8.9","0","0"
"1","4","22","0","0","7.2","2.6","0","7.2","0","0"
"1","4","23","0","0","8.3","3.1","0","8.3","0","0"
"1","5","0","0","0","7.8","2.1","0","7.8","0","0"
"1","5","1","0","0","7.8","2.1","0","7.8","0","0"
"1","5","2","0","0","5","0","0","5","0","0"
"1","5","3","0","0","3.9","1.5","0","3.9","0","0"
"1","5","4","0","0","4.4","0","0","4.4","0","0"
"1","5","5","0","0","3.9","0","0","3.9","0","0"
"1","5","6","0","0","6.1","2.1","0","6.1","0","0"
"1","5","7","29","1","6.7","4.1","12.575","5.333","10.567","4.809"
"1","5","8","263","55","7.2","2.6","222.615","11.058","197.918","188.125"
"1","5","9","191","139","7.2","3.6","298.787","12.96","269.901","258.24"
"1","5","10","514","154","8.3","3.6","639.419","21.982","556.413","535.564"
"1","5","11","607","142","8.9","3.6","759.568","26.018","649.607","625.167"
"1","5","12","750","100","9.4","2.1","853.302","32.438","707.75","680.919"
"1","5","13","765","105","10.6","2.1","835.945","33.427","689.434","663.369"
"1","5","14","647","114","11.1","3.6","666.827","26.542","566.443","545.222"
"1","5","15","486","97","10","2.1","436.447","22.032","373.977","359.302"
"1","5","16","0","0","10.6","0","0","10.6","0","0"
"1","5","17","0","0","9.4","1.5","0","9.4","0","0"
"1","5","18","0","0","8.9","0","0","8.9","0","0"
"1","5","19","0","0","8.9","0","0","8.9","0","0"
"1","5","20","0","0","7.8","1.5","0","7.8","0","0"
"1","5","21","0","0","8.3","2.1","0","8.3","0","0"
"1","5","22","0","0","7.8","3.1","0","7.8","0","0"
"1","5","23","0","0","7.2","3.1","0","7.2","0","0"
"1","6","0","0","0","7.2","2.6","0","7.2","0","0"
"1","6","1","0","0","6.7","3.6","0","6.7","0","0"
"1","6","2","0","0","6.7","3.6","0","6.7","0","0"
"1","6","3","0","0","6.7","3.6","0","6.7","0","0"
