Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  17:00:00,76459267.8342986,0.0,0.0,9649497.64221072,8882400.,57896985.8532643,0.0,30384.3388235294,3970758.20008037,0.0,3970758.20008037 
 01/01  18:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/01  19:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,3969837.21581066,0.0,3969837.21581066 
 01/01  20:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/01  21:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,3970621.64997374,0.0,3970621.64997374 
 01/01  22:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/01  23:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/01  24:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,3970620.86806706,0.0,3970620.86806706 
 01/02  01:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/02  02:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970765.13306917,0.0,3970765.13306917 
 01/02  03:00:00,152271232.533448,10065711.9220734,0.0,9649497.64221072,53294400.,77195981.1376857,2035257.49265428,30384.3388235294,72000.,0.0,72000. 
 01/02  04:00:00,164829868.59179,21267509.6519792,0.0,9649497.64221072,53294400.,77195981.1376857,3392095.82109046,30384.3388235294,3970946.58452648,0.0,3970946.58452648 
 01/02  05:00:00,162099383.417158,19215443.641566,0.0,9649497.64221072,53294400.,77195981.1376857,2713676.65687237,30384.3388235294,72000.,0.0,72000. 
 01/02  06:00:00,177602299.767839,24390443.1858174,0.0,19298995.2844214,53294400.,77195981.1376857,3392095.82109046,30384.3388235294,3971434.1484489,0.0,3971434.1484489 
 01/02  07:00:00,733190087.079177,571364304.369067,0.0,19298995.2844214,53294400.,77195981.1376857,12006021.9491793,30384.3388235294,72000.,0.0,72000. 
 01/02  08:00:00,626255092.678356,420902457.860941,0.0,57896985.8532643,17764800.,117654442.676147,12006021.9491793,30384.3388235294,6683496.51909887,2710535.60517895,3972960.91391992 
 01/02  09:00:00,644059196.960322,204879908.519767,0.0,173690957.559793,0.0,253451924.59276,12006021.9491793,30384.3388235294,7878150.37513395,0.0,7878150.37513395 
 01/02  10:00:00,523000550.790916,113876119.493217,0.0,173690957.559793,0.0,223397067.449903,12006021.9491793,30384.3388235294,7879949.43535324,0.0,7879949.43535324 
 01/02  11:00:00,486640201.083448,79545404.9149616,4906101.13452348,173690957.559793,0.0,216461331.186166,12006021.9491793,30384.3388235294,7880072.07039831,0.0,7880072.07039831 
 01/02  12:00:00,485673320.508659,64457242.70131,11705723.6345875,173690957.559793,0.0,223397067.449903,12391944.8242425,30384.3388235294,7882629.18408215,0.0,7882629.18408215 
 01/02  13:00:00,492906398.051893,72281626.2486702,12548417.5201827,173690957.559793,0.0,221437412.824822,12917599.5596011,30384.3388235294,7884609.18155879,0.0,7884609.18155879 
 01/02  14:00:00,461877315.19839,33707913.1255166,12728225.8864562,173690957.559793,0.0,229176847.669683,12542986.6181179,30384.3388235294,11791307.2419083,0.0,11791307.2419083 
 01/02  15:00:00,429984972.866811,22365003.65867,5162991.48805918,173690957.559793,0.0,216461331.186166,12274304.635299,30384.3388235294,7878937.46741241,0.0,7878937.46741241 
 01/02  16:00:00,427460224.92073,23496209.7112626,1750394.68470263,173690957.559793,0.0,216461331.186166,12030947.439982,30384.3388235294,3974867.99460667,0.0,3974867.99460667 
 01/02  17:00:00,474915261.925292,52910477.2991635,242081.782768092,173690957.559793,8882400.,226864935.581771,12294025.3629726,30384.3388235294,7880881.73991046,0.0,7880881.73991046 
 01/02  18:00:00,521836623.593207,94823635.6071866,0.0,135092966.99095,53294400.,226061237.000646,12533999.6556008,30384.3388235294,7877815.51462161,0.0,7877815.51462161 
 01/02  19:00:00,420165023.244568,128673796.300457,0.0,96494976.4221072,53294400.,129665444.234001,12006021.9491793,30384.3388235294,3973409.14183074,0.0,3973409.14183074 
 01/02  20:00:00,422538768.899545,140295190.307082,0.0,96494976.4221072,53294400.,120417795.882353,12006021.9491793,30384.3388235294,3972168.70068139,0.0,3972168.70068139 
 01/02  21:00:00,404392935.838024,180046343.098825,0.0,57896985.8532643,53294400.,101118800.597931,12006021.9491793,30384.3388235294,3972597.16342298,0.0,3972597.16342298 
 01/02  22:00:00,417088975.06635,197366206.502976,0.0,57896985.8532643,53294400.,96494976.4221072,12006021.9491793,30384.3388235294,3971186.98148816,0.0,3971186.98148816 
 01/02  23:00:00,149819760.760931,0.0,0.0,19298995.2844214,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/02  24:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/03  01:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970768.21299549,0.0,3970768.21299549 
 01/03  02:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/03  03:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970769.37622796,0.0,3970769.37622796 
 01/03  04:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/03  05:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970768.08596408,0.0,3970768.08596408 
 01/03  06:00:00,149819760.760931,0.0,0.0,19298995.2844214,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/03  07:00:00,471351856.281514,309526073.571404,0.0,19298995.2844214,53294400.,77195981.1376857,12006021.9491793,30384.3388235294,3971083.78226802,0.0,3971083.78226802 
 01/03  08:00:00,452321661.0063,246969026.188886,0.0,57896985.8532643,17764800.,117654442.676147,12006021.9491793,30384.3388235294,3972823.11410482,0.0,3972823.11410482 
 01/03  09:00:00,534150901.559351,94822907.4718235,0.0,173690957.559793,0.0,253451924.59276,12154727.5961509,30384.3388235294,3974986.92904431,0.0,3974986.92904431 
 01/03  10:00:00,452524789.00406,40794428.9373236,2605928.76903742,173690957.559793,0.0,223397067.449903,12006021.9491793,30384.3388235294,7879507.39644529,0.0,7879507.39644529 
 01/03  11:00:00,436228948.135565,31625465.7679793,2414787.33362314,173690957.559793,0.0,216461331.186166,12006021.9491793,30384.3388235294,7879195.24973043,0.0,7879195.24973043 
 01/03  12:00:00,448724891.488578,28470324.011873,10962136.5461853,173690957.559793,0.0,223397067.449903,12174021.5820004,30384.3388235294,7881115.19937551,0.0,7881115.19937551 
 01/03  13:00:00,461872153.261472,30823600.0052671,22831976.3492907,173690957.559793,0.0,221437412.824822,13057822.1834752,30384.3388235294,11791280.74521,0.0,11791280.74521 
 01/03  14:00:00,454832547.638257,9793152.38766472,28382700.7747093,173690957.559793,0.0,229176847.669683,13758504.9075834,30384.3388235294,11791206.8808809,0.0,11791206.8808809 
 01/03  15:00:00,436398754.329826,5602500.2038957,28012883.5866927,173690957.559793,0.0,216461331.186166,12600697.4544541,30384.3388235294,3974847.03012325,0.0,3974847.03012325 
 01/03  16:00:00,429108722.527834,8653566.03414008,17993581.1877711,173690957.559793,0.0,216461331.186166,12278902.2211396,30384.3388235294,7878387.07465164,0.0,7878387.07465164 
 01/03  17:00:00,458389171.109262,24892136.3996144,11468424.3619191,173690957.559793,8882400.,226864935.581771,12559932.8673413,30384.3388235294,7882162.11872215,0.0,7882162.11872215 
 01/03  18:00:00,487322831.926888,53292627.455882,6730583.9514197,135092966.99095,53294400.,226061237.000646,12820632.1891659,30384.3388235294,7875814.08232951,0.0,7875814.08232951 
 01/03  19:00:00,385537086.999981,93168764.3773296,877095.67854029,96494976.4221072,53294400.,129665444.234001,12006021.9491793,30384.3388235294,3973350.85099381,0.0,3973350.85099381 
 01/03  20:00:00,391326237.064523,109082658.472061,0.0,96494976.4221072,53294400.,120417795.882353,12006021.9491793,30384.3388235294,3972245.56205929,0.0,3972245.56205929 
 01/03  21:00:00,361255959.469384,136909366.730186,0.0,57896985.8532643,53294400.,101118800.597931,12006021.9491793,30384.3388235294,3972420.1978533,0.0,3972420.1978533 
 01/03  22:00:00,368300323.983707,148577555.420332,0.0,57896985.8532643,53294400.,96494976.4221072,12006021.9491793,30384.3388235294,72000.,0.0,72000. 
 01/03  23:00:00,149819760.760931,0.0,0.0,19298995.2844214,53294400.,77195981.1376857,0.0,30384.3388235294,3970759.72091188,0.0,3970759.72091188 
