Run Name,Total Loss AC (kWh),Total Load AC (kWh),Low Voltage Wiring Loss AC (kWh),High Voltage Wiring Loss AC (kWh),Low Voltage Load Center Loss AC (kWh),High Voltage Load Center Loss AC (kWh),MPPT Loss AC (kWh),Battery CC Loss AC (kWh),Battery Chemical Loss AC (kWh),Grid Tie Loss AC (kWh),Transformer Loss AC (kWh),Total Loss DC (kWh),Total Load DC (kWh),Low Voltage Wiring Loss DC (kWh),High Voltage Wiring Loss DC (kWh),Low Voltage Load Center Loss DC (kWh),High Voltage Load Center Loss DC (kWh),MPPT Loss DC (kWh),Battery CC Loss DC (kWh),Battery Chemical Loss DC (kWh),Grid Tie Loss DC (kWh),Transformer Loss DC (kWh)
NoSolar,78207.6953125,657569.0625,495.2012939453125,952.0244750976562,36201.9765625,33316.6484375,0.0,0.0,0.0,0.0,7241.8447265625,52032.5390625,657569.0625,9607.51953125,598.9984130859375,7259.7578125,3.592787525819041e-12,0.0,0.0,0.0,20815.0,13751.2607421875
WithSolar,107978.8984375,657592.4375,495.2434387207031,3804.95947265625,36204.99609375,33347.34765625,27157.12890625,0.0,0.0,0.0,6969.2216796875,61948.8046875,657592.4375,9608.416015625,1439.61376953125,7260.34375,3.575778345296654e-12,8211.6904296875,0.0,0.0,21976.00390625,13452.73828125
